"","band","band_status","recap_yr","recaptured_sex","recapture_age","site_recap","r1","comments"
"27","4100-59415","R",2012,"F","AHY","KV1","5/27, E6, 3.99",""
"28","4100-59882","R",2012,"M","AHY","KV1","5/27, 3.4",""
"29","4100-59346","R",2012,"F","AHY","KV1","5/27, 3.3",""
"30","4100-59588","R",2012,"F","AHY","KV1","5/27, E7, 3.7",""
"31","3100-42164","R",2012,"F","AHY","KV1","5/27, E6+, 3.7",""
"32","4100-08158","R",2012,"F","AHY","KV1","5/27, E6, 3.9",""
"33","4100-08622","R",2012,"F","AHY","GNMTN","5/27, 3.6",""
"34","4100-59428","R",2012,"F","AHY","GNMTN","5/27, E8, 4.3",""
"35","9000-90143","R",2012,"F","AHY","GNMTN","5/27, 3.5",""
"36","4100-08629","R",2012,"F","AHY","GNMTN","5/27, E9, 4.4",""
"37","4100-59489","R",2012,"F","AHY","GNMTN","5/27, E9, 4.2",""
"38","3100-42227","R",2012,"F","AHY","GNMTN","5/27, E9, 4.4",""
"39","4100-59389","R",2012,"F","AHY","GNMTN","5/27, E8, 4",""
"40","9100-23041","R",2012,"M","AHY","GNMTN","5/27, ",""
"41","4100-08915","R",2012,"F","AHY","GNMTN","5/27, 4",""
"42","3100-42225","R",2012,"F","AHY","HOLZ","5/27, E6, 4",""
"43","9000-40108","R",2012,"F","AHY","HOLZ","5/27, E8, 4.3",""
"44","4100-59598","R",2012,"M","AHY","HOLZ","5/27, 3.3",""
"45","4100-08546","R",2012,"F","AHY","HOLZ","5/27, E8, 4",""
"46","4100-59310","R",2012,"F","AHY","HOLZ","5/27, 4.1",""
"47","3100-41757","R",2012,"F","AHY","HOLZ","5/27, E7, 3.89",""
"48","4100-59598","R",2012,"M","AHY","HOLZ","5/27, 3.3",""
"49","9000-40108","R",2012,"F","AHY","HOLZ","5/27, 4.03",""
"50","4100-59668","R",2012,"F","AHY","HOLZ","5/27, E9, 5.31",""
"51","4100-08778","R",2012,"F","AHY","HOLZ","5/27, 3.6",""
"52","4100-59178","R",2012,"F","AHY","MP1","5/28, 3.88",""
"53","3100-41877","R",2012,"F","AHY","MP1","5/28, 3.61",""
"54","4100-59808","R",2012,"M","AHY","MP1","5/28, 3.8",""
"55","4100-59872","R",2012,"M","AHY","MP1","5/28, 3.2",""
"56","4100-08214","R",2012,"F","AHY","MP1","5/28, 3.1",""
"57","4100-59010","R",2012,"M","AHY","MP1","5/28, 3.47",""
"58","4100-59472","R",2012,"F","AHY","MP1","5/28, E8, 4.33",""
"59","4100-59641","R",2012,"F","AHY","MP1","5/28, 3.63",""
"60","9000-90251","R",2012,"F","AHY","MP1","5/28, E8, 4.27",""
"61","9100-23040","R",2012,"M","AHY","MP1","5/28, 3.08",""
"62","4100-59021","R",2012,"M","AHY","MP1","5/28, 3.25",""
"63","4100-59827","R",2012,"F","AHY","MP1","5/28, 3.73",""
"64","4100-59109","R",2012,"F","AHY","MP1","5/28, 3.38",""
"65","9100-22939","R",2012,"F","AHY","MP1","5/28, ","Banded earlier today"
"66","4100-59146","R",2012,"F","AHY","MP1","5/28, 3.55",""
"67","4100-59941","R",2012,"M","AHY","MP1","5/28, ","banding demonstration"
"68","4100-59336","R",2012,"F","AHY","MP1","5/28, ","banding demonstration"
"69","4100-58833","R",2012,"F","AHY","MP1","5/28, ","banding demonstration"
"70","4100-59195","R",2012,"F","AHY","MP1","5/28, ",""
"71","4100-59467","R",2012,"F","AHY","MP1","5/28, 4.12",""
"72","4100-58522","R",2012,"F","AHY","MP1","5/28, 3.45",""
"73","4100-08390","R",2012,"F","AHY","MP1","5/28, E8, 4.19",""
"74","4100-59482","R",2012,"F","AHY","MP1","5/28, 3.17",""
"75","4100-59483","R",2012,"F","AHY","MP1","5/28, 3.3",""
"76","9000-39227","R",2012,"F","AHY","MP1","5/28, 3.55",""
"77","4100-59905","R",2012,"F","AHY","MP1","5/30, 3.56",""
"78","4100-59010","R",2012,"M","AHY","MP1","5/30, 3.28",""
"79","4100-59554","R",2012,"F","AHY","MP1","5/30, E6, 3.53",""
"80","4100-14147","R",2012,"M","AHY","MP1","5/30, 3.42",""
"81","9100-22900","R",2012,"F","AHY","MP1","5/30, E6, 3.63",""
"82","4100-42504","R",2012,"F","AHY","MP1","5/30, 3.47",""
"83","4100-58569","R",2012,"M","AHY","MP1","5/30, 3.04",""
"84","6000-53818","R",2012,"F","AHY","MP1","5/30, 3.38",""
"85","9000-91329","R",2012,"F","AHY","MP1","5/30, 3.53",""
"86","4100-59021","R",2012,"M","AHY","MP1","5/30, 3.2",""
"87","9000-93691","R",2012,"M","AHY","MP1","5/30, E8, 3.24",""
"88","9100-22706","R",2012,"M","AHY","MP1","5/30, E7+, 3.2",""
"89","4100-58524","R",2012,"F","AHY","MP1","5/30, 3.45",""
"90","4100-08791","R",2012,"F","AHY","MP1","5/30, 4.01",""
"91","4100-59142","R",2012,"F","AHY","MP1","5/30, 3.79",""
"92","4100-58618","R",2012,"F","AHY","MP1","5/30, 3.25",""
"93","9100-23050","R",2012,"M","AHY","MP1","5/30, 3.17",""
"94","9100-22954","R",2012,"M","AHY","MP1","5/30, 3.15",""
"95","4100-59102","R",2012,"F","AHY","MP1","5/30, 3.76",""
"96","4100-59222","R",2012,"M","AHY","MP1","5/30, 3.21",""
"97","4100-59478","R",2012,"F","AHY","MP1","5/30, 3.56",""
"98","4100-59778","R",2012,"M","AHY","MP1","5/30, 3.21",""
"99","4100-58993","R",2012,"M","AHY","MP1","5/30, 3.17",""
"100","9100-23082","R",2012,"M","AHY","MP1","5/30, "," banded today"
"101","9100-23039","R",2012,"M","AHY","MP1","6/1, 3.3",""
"102","4100-59040","R",2012,"F","AHY","MP1","6/1, E9, 3.96",""
"103","9100-22935","R",2012,"F","AHY","MP1","6/1, 3.34",""
"104","4100-59345","R",2012,"F","AHY","MP1","6/1, E8, 3.67",""
"105","6000-53739","R",2012,"F","AHY","MP1","6/1, E8, 3.81",""
"106","9100-22943","R",2012,"F","AHY","MP1","6/1, E7, 4.43",""
"107","4100-59941","R",2012,"M","AHY","MP1","6/1, 2.94",""
"108","4100-58993","R",2012,"M","AHY","MP1","6/1, 3.25",""
"109","4100-59876","R",2012,"M","AHY","MP1","6/1, 3.17",""
"110","4100-08451","R",2012,"F","AHY","MP1","6/1, 3.57",""
"111","4100-58519","R",2012,"F","AHY","MP1","6/1, 3.82",""
"112","9100-22943","R",2012,"F","AHY","MP1","6/1, ",""
"113","4100-59821","R",2012,"F","AHY","MP1","6/1, 3.3",""
"114","9100-23084","R",2012,"M","AHY","MP1","6/1, 3.12",""
"115","4100-59580","R",2012,"F","AHY","MP1","6/1, 3.46",""
"116","9000-12435","R",2012,"F","AHY","MP1","6/1, 3.3",""
"117","3100-41611","R",2012,"F","AHY","MP1","6/1, 3.51",""
"118","4100-58501","R",2012,"F","AHY","MP1","6/1, E8, 3.8",""
"119","3100-42237","R",2012,"F","AHY","MP1","6/1, 3.44",""
"120","4100-59689","R",2012,"F","AHY","MP1","6/1, E7, 3.42",""
"121","4100-08840","R",2012,"F","AHY","MP1","6/1, 3.49",""
"122","4100-59602","R",2012,"F","AHY","MP1","6/1, 3.58",""
"123","9000-39319","R",2012,"F","AHY","MP1","6/1, 3.78",""
"124","4100-59254","R",2012,"M","AHY","KV1","6/1, 3.04",""
"125","4100-58614","R",2012,"F","AHY","KV1","6/1, 3.49",""
"126","4100-08763","R",2012,"F","AHY","KV1","6/1, 3.63",""
"127","9000-90307","R",2012,"F","AHY","HOLZ","6/1, 3.86",""
"128","3100-41757","R",2012,"F","AHY","HOLZ","6/1, 3.52",""
"129","4100-59541","R",2012,"F","AHY","HOLZ","6/1, E8, 4.01",""
"130","9100-22930","R",2012,"F","AHY","HOLZ","6/1, E6, 3.7",""
"131","9000-39817","R",2012,"F","AHY","HOLZ","6/1, 3.76",""
"132","9100-22931","R",2012,"F","AHY","HOLZ","6/1, 3.73",""
"133","9000-40138","R",2012,"F","AHY","HOLZ","6/1, 3.63",""
"134","3100-42225","R",2012,"F","AHY","HOLZ","6/1, 3.83",""
"135","4100-08456","R",2012,"F","AHY","MP1","6/5, 4.27",""
"136","4100-08840","R",2012,"F","AHY","MP1","6/5, 3.69",""
"137","4100-59103","R",2012,"F","AHY","MP1","6/5, 3.69",""
"138","9100-23024","R",2012,"M","AHY","MP1","6/5, 3.03",""
"139","9100-23002","R",2012,"M","AHY","MP1","6/5, 3.37",""
"140","4100-59517","R",2012,"F","AHY","MP1","6/5, 3.65",""
"141","9100-22943","R",2012,"F","AHY","MP1","6/5, 3.83",""
"142","9100-23056","R",2012,"M","AHY","MP1","6/5, 3.34",""
"143","4100-58569","R",2012,"M","AHY","MP1","6/5, 3.21",""
"144","4100-08193","R",2012,"F","AHY","MP1","6/5, 3.6",""
"145","4100-59021","R",2012,"M","AHY","MP1","6/5, 3.22",""
"146","4100-59668","R",2012,"F","AHY","HOLZ","6/7, 3.71",""
"147","9000-39817","R",2012,"F","AHY","HOLZ","6/7, 3.46",""
"148","9100-23217","R",2012,"M","AHY","HOLZ","6/7, 3.22",""
"149","9000-90307","R",2012,"F","AHY","HOLZ","6/7, 3.5",""
"150","9100-23138","R",2012,"F","AHY","HOLZ","6/7, E6-, 3.4",""
"151","3100-42225","R",2012,"F","AHY","HOLZ","6/7, E6, 3.68",""
"152","3100-41757","R",2012,"F","AHY","HOLZ","6/7, 3.42",""
"153","9100-23139","R",2012,"F","AHY","HOLZ","6/7, 3.66",""
"154","9100-23138","R",2012,"F","AHY","HOLZ","6/7, E6, 3.4",""
"155","9100-23142","R",2012,"F","AHY","HOLZ","6/7, E6, 3.6",""
"156","4100-59598","R",2012,"M","AHY","HOLZ","6/7, 3.27",""
"157","9100-23217","R",2012,"M","AHY","HOLZ","6/7, 3.14",""
"158","4100-08546","R",2012,"F","AHY","HOLZ","6/7, 3.92",""
"159","9000-90129","R",2012,"F","AHY","GNMTN","6/7, 3.47",""
"160","4100-08820","R",2012,"F","AHY","GNMTN","6/7, 3.8",""
"161","4100-59427","R",2012,"F","AHY","GNMTN","6/7, E6, 3.9",""
"162","9100-23041","R",2012,"M","AHY","GNMTN","6/7, 3.29",""
"163","9000-90293","R",2012,"F","AHY","GNMTN","6/7, 4.32",""
"164","4100-59484","R",2012,"F","AHY","GNMTN","6/7, 3.69",""
"165","3100-42469","R",2012,"F","AHY","GNMTN","6/7, E9, 4.83",""
"166","4100-08681","R",2012,"F","AHY","GNMTN","6/7, 3.67",""
"167","9100-22923","R",2012,"F","AHY","MP1","6/9, 3.26",""
"168","9100-23243","R",2012,"M","AHY","MP1","6/9, 3.3",""
"169","4100-59830","R",2012,"F","AHY","MP1","6/9, 4.09",""
"170","4100-59175","R",2012,"F","AHY","MP1","6/9, 3.35",""
"171","4100-59362","R",2012,"F","AHY","MP1","6/9, E8, 4.2",""
"172","4100-58508","R",2012,"F","AHY","MP1","6/9, 3.46",""
"173","4100-59578","R",2012,"F","AHY","MP1","6/9, 3.27",""
"174","4100-08437","R",2012,"F","AHY","MP1","6/9, 4.19",""
"175","4100-59146","R",2012,"F","AHY","MP1","6/9, 3.45",""
"176","3100-41739","R",2012,"F","AHY","MP1","6/9, 3.23",""
"177","9100-22972","R",2012,"F","AHY","MP1","6/9, E6-, 3.56",""
"178","4100-08563","R",2012,"F","AHY","MP1","6/9, E6+, 3.55",""
"179","4100-08569","R",2012,"F","AHY","MP1","6/9, 3.5",""
"180","4100-58501","R",2012,"F","AHY","MP1","6/9, 3.44",""
"181","9000-91361","R",2012,"F","AHY","MP1","6/11, 4.57","band to left leg"
"182","9100-23202","R",2012,"M","AHY","MP1","6/11, 3.21",""
"183","4100-59174","R",2012,"F","AHY","MP1","6/11, 3.51",""
"184","9100-22990","R",2012,"F","AHY","MP1","6/11, 3.3",""
"185","4100-59850","R",2012,"F","AHY","MP1","6/11, 3.56",""
"186","9100-23101","R",2012,"F","AHY","MP1","6/11, 3.34",""
"187","9100-22803","R",2012,"M","AHY","MP1","6/11, 3.2",""
"188","9100-23277","R",2012,"F","AHY","MP1","6/11, 3.19",""
"189","9100-22994","R",2012,"F","AHY","MP1","6/11, 3.34",""
"190","9100-23136","R",2012,"F","AHY","MP1","6/11, E7, 3.7",""
"191","3100-41822","R",2012,"F","AHY","MP1","6/11, 3.28",""
"192","4100-58504","R",2012,"F","AHY","MP1","6/11, 3.65",""
"193","4100-59481","R",2012,"F","AHY","MP1","6/11, 3.55",""
"194","4100-59160","R",2012,"F","AHY","MP1","6/11, 3.57",""
"195","4100-59757","R",2012,"F","AHY","MP1","6/11, 3.59",""
"196","9000-39860","R",2012,"F","AHY","MP1","6/11, 3.47",""
"197","4100-59021","R",2012,"M","AHY","MP1","6/11, 3.2",""
"198","4100-08172","R",2012,"F","AHY","MP1","6/11, 3.28",""
"199","9100-23153","R",2012,"M","AHY","HOLZ","6/13, 3.3",""
"200","9100-23192","R",2012,"M","AHY","HOLZ","6/13, 3.13",""
"201","4100-59598","R",2012,"M","AHY","HOLZ","6/13, 3.14",""
"202","4100-58723","R",2012,"F","AHY","HOLZ","6/13, 3.4",""
"203","4100-58517","R",2012,"F","AHY","GNMTN","6/13, 3.68",""
"204","4100-08817","R",2012,"F","AHY","GNMTN","6/13, 3.66",""
"205","4100-08619","R",2012,"F","AHY","GNMTN","6/13, 3.63",""
"206","4100-59427","R",2012,"F","AHY","GNMTN","6/13, 3.93",""
"207","9100-23379","R",2012,"F","AHY","GNMTN","6/13, ","Banded earlier today"
"208","9100-23305","R",2012,"M","AHY","GNMTN","6/13, ","Banded earlier today"
"209","4100-59390","R",2012,"F","AHY","GNMTN","6/13, 4",""
"210","9100-23257","R",2012,"F","AHY","GNMTN","6/13, 3.66",""
"211","9000-90915","R",2012,"F","AHY","MP1","6/18, 3.72",""
"212","4100-08716","R",2012,"F","AHY","MP1","6/18, 3.62",""
"213","9100-23402","R",2012,"F","AHY","MP1","6/18, 3.86","Banded earlier today"
"214","9100-22996","R",2012,"F","AHY","MP1","6/18, 4.81",""
"215","9100-23211","R",2012,"M","AHY","MP1","6/18, 3.46",""
"216","4100-59876","R",2012,"M","AHY","MP1","6/18, 3.19",""
"217","9100-23277","R",2012,"F","AHY","MP1","6/19, 3.35",""
"218","9100-22969","R",2012,"F","AHY","MP1","6/19, 3.74",""
"219","9100-22874","R",2012,"F","AHY","MP1","6/19, 3.45",""
"220","9100-23211","R",2012,"M","AHY","MP1","6/19, 3.3",""
"221","4100-13781","R",2012,"F","AHY","MP1","6/19, 3.76",""
"222","9100-23053","R",2012,"M","AHY","MP1","6/19, 3.27",""
"223","3100-42497","R",2012,"F","AHY","MP1","6/19, 3.94",""
"224","9100-23243","R",2012,"M","AHY","MP1","6/19, 3.4",""
"225","4100-59020","R",2012,"M","AHY","MP1","6/19, 3",""
"226","4100-59021","R",2012,"M","AHY","MP1","6/19, 3.29",""
"227","4100-59108","R",2012,"F","AHY","MP1","6/19, 3.65",""
"228","9100-23273","R",2012,"F","AHY","MP1","6/19, 3.48",""
"229","4100-08173","R",2012,"F","AHY","MP1","6/19, 3.87",""
"230","4100-59164","R",2012,"M","AHY","MP1","6/19, 3.21",""
"231","4100-59464","R",2012,"F","AHY","MP1","6/19, 3.37",""
"232","9100-23322","R",2012,"M","AHY","MP1","6/19, 3.06",""
"233","9100-22993","R",2012,"F","AHY","MP1","6/19, 3.94",""
"234","4100-59759","R",2012,"F","AHY","MP1","6/19, 3.59",""
"235","3100-42735","R",2012,"F","AHY","MP1","6/19, 3.6",""
"236","9000-39929","R",2012,"F","AHY","MP1","6/19, 3.84",""
"237","9100-22970","R",2012,"F","AHY","MP1","6/19, 3.5",""
"238","9100-23359","R",2012,"F","AHY","MP1","6/19, 3.34",""
"239","9100-23011","R",2012,"M","AHY","MP1","6/19, 3.12",""
"240","9000-39412","R",2012,"F","AHY","KV1","6/21, 3.43",""
"241","9100-22926","R",2012,"F","AHY","KV1","6/21, 3.45",""
"242","4100-08902","R",2012,"F","AHY","KV1","6/21, 3.61",""
"243","4100-59487","R",2012,"F","AHY","GNMTN","6/21, 3.45",""
"244","9100-23383","R",2012,"F","AHY","GNMTN","6/21, 3.77",""
"245","9100-23155","R",2012,"M","AHY","GNMTN","6/21, 3.38",""
"246","4100-59425","R",2012,"F","AHY","GNMTN","6/21, 4.65",""
"247","3100-41700","R",2012,"F","AHY","GNMTN","6/21, ",""
"248","9000-90560","R",2012,"M","AHY","HOLZ","6/21, 3.19",""
"249","9100-23192","R",2012,"M","AHY","HOLZ","6/21, 3.17",""
"250","4100-08547","R",2012,"F","AHY","HOLZ","6/21, 3.5",""
"251","3100-42601","R",2012,"F","AHY","HOLZ","6/21, 3.64",""
"252","9100-23143","R",2012,"F","AHY","HOLZ","6/21, 3.81",""
"253","4100-59923","R",2012,"F","AHY","HOLZ","6/21, 3.6",""
"254","9100-23145","R",2012,"F","AHY","HOLZ","6/21, 3.56",""
"255","9000-39890","R",2012,"F","AHY","HOLZ","6/21, 3.65",""
"256","9100-23150","R",2012,"F","AHY","HOLZ","6/21, 3.3",""
"257","9100-23153","R",2012,"M","AHY","HOLZ","6/21, 3.46",""
"258","9100-23263","R",2012,"F","AHY","GNMTN","7/6, ",""
"259","9100-23464","R",2012,"F","AHY","GNMTN","7/6, ",""
"260","9000-90129","R",2012,"F","AHY","GNMTN","7/6, E8+, 4.6",""
"261","4100-08774","R",2012,"F","AHY","GNMTN","7/6, 3.9",""
"262","4100-59835","R",2012,"F","AHY","GNMTN","7/6, 3.6",""
"263","4100-08915","R",2012,"F","AHY","GNMTN","7/6, 3.8",""
"264","9100-23157","R",2012,"M","AHY","GNMTN","7/6, 3.2",""
"265","9100-22958","R",2012,"F","AHY","GNMTN","7/6, 3.4",""
"266","9100-23142","R",2012,"F","AHY","HOLZ","7/6, 3.5",""
"267","9100-23480","R",2012,"F","AHY","HOLZ","7/6, 3.4",""
"268","4100-59952","R",2012,"F","AHY","HOLZ","7/6, E9, 4.1",""
"269","9100-23481","R",2012,"F","AHY","HOLZ","7/6, 3.7",""
"270","9100-23147","R",2012,"F","AHY","HOLZ","7/6, 3.4",""
"271","9100-23145","R",2012,"F","AHY","HOLZ","7/6, 3.4",""
"272","9100-23508","R",2012,"M","AHY","HOLZ","7/6, 3.3",""
"273","4100-08547","R",2012,"F","AHY","HOLZ","7/6, 3.5",""
"274","9100-23490","R",2012,"F","AHY","HOLZ","7/6, 3.7",""
"275","9100-23556","R",2012,"F","AHY","HOLZ","7/6, E7+, 3.8",""
"276","9100-23147","R",2012,"F","AHY","HOLZ","7/6, 3.6",""
"277","9100-23376","R",2012,"F","AHY","HOLZ","7/6, 3.6",""
"278","9100-23138","R",2012,"F","AHY","HOLZ","7/6, 3.5",""
"279","9100-23301","R",2012,"M","AHY","HOLZ","7/6, 3.2",""
"280","4100-59190","R",2012,"F","AHY","MP1","7/8, 3.13",""
"281","4100-07822","R",2012,"F","AHY","MP1","7/8, fat, 4.57","fat"
"282","9100-22941","R",2012,"F","AHY","MP1","7/8, 3.46",""
"283","9100-22997","R",2012,"F","AHY","MP1","7/8, 3.83",""
"284","4100-58833","R",2012,"F","AHY","MP1","7/8, 3.9",""
"285","4100-59151","R",2012,"F","AHY","MP1","7/8, 3.59",""
"286","9100-23431","R",2012,"F","AHY","MP1","7/8, 3.67",""
"287","3100-42873","R",2012,"F","AHY","MP1","7/8, 3.95",""
"288","4100-08834","R",2012,"F","AHY","MP1","7/8, 3.63",""
"289","3100-42304","R",2012,"F","AHY","MP1","7/8, 3.33",""
"290","9100-23361","R",2012,"F","AHY","MP1","7/8, 4.16",""
"291","4100-58569","R",2012,"M","AHY","MP1","7/8, 3.11",""
"292","4100-59828","R",2012,"F","AHY","MP1","7/8, 3.93",""
"293","4100-59635","R",2012,"F","AHY","MP1","7/8, 3.59",""
"294","9100-22932","R",2012,"F","AHY","MP1","7/8, ",""
"295","9100-22950","R",2012,"F","AHY","MP1","7/8, ",""
"296","9000-90251","R",2012,"F","AHY","MP1","7/8, 3.8",""
"297","4100-59190","R",2012,"F","AHY","MP1","7/8, 3.78",""
"298","4100-59151","R",2012,"F","AHY","MP1","7/8, ","again"
"299","9100-23208","R",2012,"M","AHY","HPK2","7/12, 3",""
"300","4100-59868","R",2012,"F","AHY","HPK2","7/12, 3.62",""
"301","3100-41414","R",2012,"F","AHY","HPK2","7/12, 3.49",""
"302","4100-59588","R",2012,"F","AHY","KV1","7/13, 3.3",""
"303","4100-59590","R",2012,"F","AHY","KV1","7/13, 3.53",""
"304","4100-58614","R",2012,"F","AHY","KV1","7/13, 3.43",""
"305","9100-22760","R",2012,"F","AHY","KV1","7/13, 3.78",""
"306","4100-59396","R",2012,"F","AHY","KV1","7/13, 3.76","banded today"
"307","9100-23717","R",2012,"F","AHY","KV1","7/13, ","banded today"
"308","9100-23680","R",2012,"F","AHY","KV1","7/13, ",""
"309","4100-59489","R",2012,"F","AHY","GNMTN","7/13, 3.61",""
"310","9100-23380","R",2012,"F","AHY","GNMTN","7/13, 3.41",""
"311","9100-22929","R",2012,"F","AHY","GNMTN","7/13, 3.91",""
"312","9100-23466","R",2012,"F","AHY","GNMTN","7/13, 3.7",""
"313","4100-08817","R",2012,"F","AHY","GNMTN","7/13, 4.14",""
"314","3100-42889","R",2012,"F","AHY","GNMTN","7/13, E8+, 3.99",""
"315","9100-23464","R",2012,"F","AHY","GNMTN","7/13, ",""
"316","9100-23412","R",2012,"F","AHY","GNMTN","7/13, 3.63",""
"317","4100-08778","R",2012,"F","AHY","HOLZ","7/13, 3.6",""
"318","9100-23337","R",2012,"M","AHY","HOLZ","7/13, 3.37",""
"319","9100-23511","R",2012,"M","AHY","HOLZ","7/13, 3.39",""
"320","9100-23314","R",2012,"M","AHY","HOLZ","7/13, 3.5",""
"321","4100-08547","R",2012,"F","AHY","HOLZ","7/13, 3.53",""
"322","9100-23492","R",2012,"F","AHY","HOLZ","7/13, 3.47",""
"323","9100-23508","R",2012,"M","AHY","HOLZ","7/13, 3.34",""
"324","9100-23568","R",2012,"F","AHY","HOLZ","7/13, 3.4",""
"325","4100-59321","R",2012,"F","AHY","HOLZ","7/13, 3.32",""
"326","9100-23487","R",2012,"F","AHY","HOLZ","7/13, 3.47",""
"327","9100-23392","R",2012,"F","AHY","HOLZ","7/13, 3.6",""
"328","3100-42225","R",2012,"F","AHY","HOLZ","7/13, ",""
"329","4100-59756","R",2012,"F","AHY","MP1","7/14, 4.31",""
"330","4100-59146","R",2012,"F","AHY","MP1","7/14, 3.8",""
"331","4100-08219","R",2012,"F","AHY","MP1","7/14, E9+, 4.77",""
"332","9100-23360","R",2012,"F","AHY","MP1","7/14, 3.69",""
"333","9100-23209","R",2012,"M","AHY","MP1","7/14, 3.17",""
"334","3100-41880","R",2012,"F","AHY","MP1","7/14, 3.61",""
"335","4100-59554","R",2012,"F","AHY","MP1","7/14, 2.99",""
"336","9100-22900","R",2012,"F","AHY","MP1","7/14, 4.03",""
"337","9100-23650","R",2012,"F","AHY","MP1","7/14, 3.38",""
"338","4100-59483","R",2012,"F","AHY","MP1","7/14, 3.56",""
"339","9100-23300","R",2012,"F","AHY","MP1","7/14, 3.42",""
"340","9100-23316","R",2012,"M","AHY","MP1","7/14, 3.04",""
"341","9100-23610","R",2012,"M","AHY","MP1","7/14, 3.41",""
"342","9000-90252","R",2012,"F","AHY","MP1","7/14, 3.54",""
"343","3100-41619","R",2012,"F","AHY","MP1","7/14, 4.2",""
"344","9100-23128","R",2012,"F","AHY","MP1","7/14, 3.95",""
"345","9100-22947","R",2012,"F","AHY","MP1","7/14, 4.04",""
"346","4100-08567","R",2012,"F","AHY","MP1","7/19, 3.5",""
"347","9100-23353","R",2012,"F","AHY","MP1","7/19, 3.03",""
"348","4100-59941","R",2012,"M","AHY","MP1","7/19, 3.11",""
"349","4100-58851","R",2012,"F","AHY","MP1","7/19, 3.9",""
"350","4100-59376","R",2012,"F","AHY","MP1","7/19, 3.7",""
"351","4100-58988","R",2012,"F","AHY","MP1","7/19, 3.95",""
"352","4100-08216","R",2012,"F","AHY","MP1","7/19, 3.5",""
"353","4100-08225","R",2012,"F","AHY","MP1","7/19, 3.6",""
"354","9100-23269","R",2012,"F","AHY","MP1","7/19, 3.2",""
"355","9100-23336","R",2012,"F","AHY","MP1","7/19, 3.5",""
"356","9100-22970","R",2012,"F","AHY","MP1","7/19, 3.3",""
"357","4100-59122","R",2012,"F","AHY","MP1","7/19, 3.6",""
"358","9100-23563","R",2012,"F","AHY","HOLZ","7/20, 3.91",""
"359","9100-23560","R",2012,"F","AHY","HOLZ","7/20, 3.63",""
"360","4100-59310","R",2012,"F","AHY","HOLZ","7/20, 3.7",""
"361","9100-23149","R",2012,"F","AHY","HOLZ","7/20, 3.51",""
"362","9100-23684","R",2012,"F","AHY","HOLZ","7/20, 3.57",""
"363","9100-23392","R",2012,"F","AHY","HOLZ","7/20, 3.25",""
"364","4100-08945","R",2012,"F","AHY","HOLZ","7/20, 3.66",""
"365","9100-22931","R",2012,"F","AHY","HOLZ","7/20, 3.59",""
"366","3100-41757","R",2012,"F","AHY","HOLZ","7/20, 3.81",""
"367","4100-08778","R",2012,"F","AHY","HOLZ","7/20, 3.7",""
"368","3100-42601","R",2012,"F","AHY","HOLZ","7/20, 3.6",""
"369","9100-23621","R",2012,"M","AHY","HOLZ","7/20, 3.54",""
"370","9100-23138","R",2012,"F","AHY","HOLZ","7/20, 3.54",""
"371","9100-23375","R",2012,"F","AHY","HOLZ","7/20, 3.56",""
"372","9100-23562","R",2012,"F","AHY","HOLZ","7/20, ",""
"373","9100-23686","R",2012,"F","AHY","HOLZ","7/20, 3.7",""
